rank,publication_id,doi,pmid,pmcid,title,source_title,anthology_title,publisher,mesh_terms,pubyear,volume,issue,pagination,open_access,publication_type,authors,authors_affiliations,research_organizations_-_standardized,grid_ids,city_of_research_organization,state_of_research_organization,country_of_research_organization,funder,funder_group,funder_country,uids_of_supporting_grants,supporting_grants,times_cited,recent_citations,rcr,fcr,source_linkout,dimensions_url,for_(anzsrc)_categories,for_1,for_2,for_3,for_4,for_5,rcdc_categories,rcdc_1,rcdc_2,rcdc_3,rcdc_4,rcdc_5,hrcs_hc_categories,hrcs_hc_1,hrcs_hc_2,hrcs_hc_3,hrcs_hc_4,hrcs_hc_5,hrcs_rac_categories,hrcs_rac_1,hrcs_rac_2,hrcs_rac_3,hrcs_rac_4,hrcs_rac_5,health_research_areas,broad_research_areas,icrp_cancer_types,icrp_cancer_types_1,icrp_cancer_types_2,icrp_cancer_types_3,icrp_cancer_types_4,icrp_cancer_types_5,icrp_cso_categories,icrp_cso_1,icrp_cso_2,icrp_cso_3,icrp_cso_4,icrp_cso_5,domain,search_note,norm_rank
119,pub.1003685900,10.1002/pam.21971,28378956,,Are Parental Welfare Work Requirements Good for Disadvantaged Children? Evidence From Age‐of‐Youngest‐Child Exemptions,Journal of Policy Analysis and Management,,Wiley,"Adult; Breast Feeding; Child Development; Child Welfare; Child, Preschool; Depressive Disorder; Employment; Humans; Infant; Infant Welfare; Infant, Newborn; Maternal Welfare; Mother-Child Relations; Poverty; Social Welfare",2017,36,2,327-357,"All OA; Green, Submitted",article,"Herbst, Chris M","Herbst, Chris M (Arizona State University)",Arizona State University,grid.215654.1,Tempe,Arizona,United States,,,,,,5,5,1.13,2.91,https://www.econstor.eu/bitstream/10419/103507/1/dp8485.pdf,https://app.dimensions.ai/details/publication/pub.1003685900,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Behavioral and Social Science; Health Services; Clinical Research; Pediatric; Mental Health,Behavioral and Social Science,Health Services,Clinical Research,Pediatric,Mental Health,Reproductive Health and Childbirth,Reproductive Health and Childbirth,,,,,,,,,,,Population & Society,Public Health,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.209876543
118,pub.1047855875,10.1002/pam.21850,,,Introduction to the Research Articles,Journal of Policy Analysis and Management,,Wiley,,2015,34,3,488-492,Closed,article,"Couch, Kenneth A.","Couch, Kenneth A. ()",,,,,,,,,,,0,0,0,0,,https://app.dimensions.ai/details/publication/pub.1047855875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.208112875
118,pub.1044921179,10.1016/j.socscimed.2014.10.041,25462601,,Effects of infant health on family food insecurity: Evidence from two U.S. birth cohort studies,Social Science & Medicine,,Elsevier,"Cohort Studies; Female; Food Supply; Health Status; Humans; Infant; Infant Welfare; Infant, Low Birth Weight; Male; Social Class; Surveys and Questionnaires; United States",2014,123,Annu. Rev. Public Health 29 2008,18-25,Closed,article,"Corman, Hope; Noonan, Kelly; Reichman, Nancy E.","Corman, Hope (Rider University); Noonan, Kelly (); Reichman, Nancy E. (Rutgers University)",Rutgers University; Rider University,grid.430387.b; grid.262557.1,New Brunswick; Lawrenceville,New Jersey; New Jersey,United States; United States,United States Department of Agriculture,USDA,United States,,,5,4,0.25,0.94,,https://app.dimensions.ai/details/publication/pub.1044921179,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Behavioral and Social Science; Pediatric; Prevention; Clinical Research,Behavioral and Social Science,Pediatric,Prevention,Clinical Research,,Generic Health Relevance,Generic Health Relevance,,,,,,,,,,,Population & Society,Public Health,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.208112875
116,pub.1030224334,10.1002/pam.21833,26347369,PMC4559281,Waging War on Poverty: Poverty Trends Using a Historical Supplemental Poverty Measure,Journal of Policy Analysis and Management,,Wiley,,2015,34,3,567-592,"All OA; Green, Accepted",article,"Fox, Liana E; Wimer, Christopher; Garfinkel, Irwin; Kaushal, Neeraj; Waldfogel, Jane","Fox, Liana E (Stockholm University); Wimer, Christopher (); Garfinkel, Irwin (); Kaushal, Neeraj (); Waldfogel, Jane ()",Stockholm University,grid.10548.38,Stockholm,,Sweden,National Institute of Child Health and Human Development,NIH,United States,grant.3804280; grant.2621431,P2CHD058486; R24HD058486,31,19,2.51,13.75,http://europepmc.org/articles/pmc4559281?pdf=render,https://app.dimensions.ai/details/publication/pub.1030224334,1402 Applied Economics; 1403 Econometrics,1402 Applied Economics,1403 Econometrics,,,,Basic Behavioral and Social Science; Behavioral and Social Science,Basic Behavioral and Social Science,Behavioral and Social Science,,,,Generic Health Relevance,Generic Health Relevance,,,,,,,,,,,Population & Society,Public Health,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.204585538
116,pub.1027173681,10.1016/j.childyouth.2012.07.012,22984321,PMC3439815,Examining racial disproportionality in child protective services case decisions,Children and Youth Services Review,,Elsevier,,2012,34,11,2188-2200,"All OA; Green, Accepted",article,"Font, Sarah A.; Berger, Lawrence M.; Slack, Kristen S.","Font, Sarah A. (University of Wisconsin–Madison); Berger, Lawrence M. (University of Wisconsin–Madison); Slack, Kristen S. (University of Wisconsin–Madison)",University of Wisconsin–Madison,grid.14003.36,Madison,Wisconsin,United States,National Institute of Child Health and Human Development,NIH,United States,grant.2439230,P30HD003352,28,15,0.77,3.9,http://europepmc.org/articles/pmc3439815?pdf=render,https://app.dimensions.ai/details/publication/pub.1027173681,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Pediatric; Child Abuse and Neglect Research; Violence Research,Pediatric,Child Abuse and Neglect Research,Violence Research,,,Mental Health,Mental Health,,,,,,,,,,,Population & Society,Public Health,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.204585538
116,pub.1052106893,10.1007/s11133-011-9213-1,22368313,PMC3285430,“We’ll Figure a Way”: Teenage Mothers’ Experiences in Shifting Social and Economic Contexts,Qualitative Sociology,,Springer Nature,,2012,35,1,23-46,"All OA; Green, Accepted",article,"Mollborn, Stefanie; Jacobs, Janet","Mollborn, Stefanie (University of Colorado Boulder); Jacobs, Janet (University of Colorado Boulder)",University of Colorado Boulder,grid.266190.a,Boulder,Colorado,United States,National Institute of Child Health and Human Development,NIH,United States,grant.2621438; grant.4455019,R24HD066613; P2CHD066613,12,4,0.47,3.26,http://europepmc.org/articles/pmc3285430?pdf=render,https://app.dimensions.ai/details/publication/pub.1052106893,1603 Demography; 1608 Sociology,1603 Demography,1608 Sociology,,,,Prevention; Behavioral and Social Science; Basic Behavioral and Social Science; Pediatric,Prevention,Behavioral and Social Science,Basic Behavioral and Social Science,Pediatric,,,,,,,,,,,,,,,Public Health,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.204585538
115,pub.1103439639,10.1002/hec.3658,29665180,,Does the earned income tax credit increase children's weight? The impact of policy‐driven income on childhood obesity,Health Economics,,Wiley,,2018,27,7,1089-1102,Closed,article,"Jo, Young","Jo, Young (Agricultural Research Service)",Agricultural Research Service,grid.463419.d,Washington D.C.,District of Columbia,United States,,,,,,2,2,0,0,,https://app.dimensions.ai/details/publication/pub.1103439639,1402 Applied Economics; 1117 Public Health and Health Services,1402 Applied Economics,1117 Public Health and Health Services,,,,Behavioral and Social Science; Pediatric; Basic Behavioral and Social Science; Obesity,Behavioral and Social Science,Pediatric,Basic Behavioral and Social Science,Obesity,,,,,,,,,,,,,,Population & Society,Public Health,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.202821869
115,pub.1019565057,10.1080/19320248.2014.908449,25844109,PMC4383250,Where Are the Fresh Fruits and Vegetables?: A Systematic Exploration of Access to Food Stores Offering Fresh Fruits and Vegetables as Told by Midwestern African American Women,Journal of Hunger & Environmental Nutrition,,Taylor & Francis,,2014,9,4,523-534,"All OA; Green, Accepted",article,"Sheats, Jylana L; DE Leon, Bernadette; Ona, Fernando F","Sheats, Jylana L (Lucile Packard Children's Hospital); DE Leon, Bernadette (Indiana University Bloomington); Ona, Fernando F (Tufts Medical Center)",Indiana University Bloomington; Tufts Medical Center; Lucile Packard Children's Hospital,grid.411377.7; grid.67033.31; grid.414123.1,Bloomington; Boston; Palo Alto,Indiana; Massachusetts; California,United States; United States; United States,National Heart Lung and Blood Institute,NIH,United States,grant.2684554,T32HL007034,2,2,0.14,0.38,http://europepmc.org/articles/pmc4383250?pdf=render,https://app.dimensions.ai/details/publication/pub.1019565057,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Nutrition,Nutrition,,,,,,,,,,,,,,,,,Population & Society,Public Health,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.202821869
115,pub.1014578236,10.1002/pam.21963,28378958,,"Child Poverty, the Great Recession, and the Social Safety Net in the United States",Journal of Policy Analysis and Management,,Wiley,Child; Economic Recession; Emigrants and Immigrants; Hispanic Americans; Humans; Income; Marital Status; Medical Assistance; Poverty; Public Assistance; Social Support; Social Welfare; State Government; Unemployment; United States,2017,36,2,358-389,"All OA; Green, Submitted",article,"Bitler, Marianne; Hoynes, Hiliary; Kuku, Elira","Bitler, Marianne (University of California, Davis); Hoynes, Hiliary (University of California, Berkeley); Kuku, Elira (Southern Methodist University)","Southern Methodist University; University of California, Davis; University of California, Berkeley",grid.263864.d; grid.27860.3b; grid.47840.3f,Dallas; Davis; Berkeley,Texas; California; California,United States; United States; United States,,,,,,5,5,0,4.24,https://cloudfront.escholarship.org/dist/prd/content/qt5kw9q560/qt5kw9q560.pdf?t=p2tven,https://app.dimensions.ai/details/publication/pub.1014578236,1402 Applied Economics; 1403 Econometrics,1402 Applied Economics,1403 Econometrics,,,,Behavioral and Social Science; Basic Behavioral and Social Science,Behavioral and Social Science,Basic Behavioral and Social Science,,,,Generic Health Relevance,Generic Health Relevance,,,,,,,,,,,Population & Society,Public Health,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.202821869
115,pub.1100300133,10.1111/1468-0009.12306,29318689,PMC5835672,"Now Welfare Reform, Of Course",Milbank Quarterly,,Wiley,Health Care Reform; Humans; Politics; Public Assistance; Public Opinion; United States,2018,96,1,13-16,Closed,article,"ROSENBAUM, SARA","ROSENBAUM, SARA ()",,,,,,,,,,,1,1,0,0,,https://app.dimensions.ai/details/publication/pub.1100300133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.202821869
113,pub.1027435196,10.1016/j.socscimed.2015.12.020,26722983,,Low-income Children's participation in the National School Lunch Program and household food insufficiency,Social Science & Medicine,,Elsevier,"Adolescent; Child; Child, Preschool; Female; Food Services; Food Supply; Humans; Lunch; Male; Poverty; Public Assistance; Schools; United States",2016,150,,14-Aug,All OA; Bronze,article,"Huang, Jin; Barnidge, Ellen","Huang, Jin (Saint Louis University); Barnidge, Ellen (Saint Louis University)",Saint Louis University,grid.262962.b,St Louis,Missouri,United States,United States Department of Agriculture,USDA,United States,,,9,8,1.56,3.03,https://manuscript.elsevier.com/S027795361530280X/pdf/S027795361530280X.pdf,https://app.dimensions.ai/details/publication/pub.1027435196,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Nutrition; Prevention; Pediatric; Behavioral and Social Science; Basic Behavioral and Social Science; Clinical Research,Nutrition,Prevention,Pediatric,Behavioral and Social Science,Basic Behavioral and Social Science,,,,,,,3.1 Primary prevention interventions to modify behaviours or promote well-being,3.1 Primary prevention interventions to modify behaviours or promote well-being,,,,,Population & Society,Public Health,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.199294533
113,pub.1039458183,10.1080/19320248.2014.962768,,,Individual and Neighborhood Predictors of Participation in the Supplemental Nutrition Assistance Program (SNAP) in Los Angeles County,Journal of Hunger & Environmental Nutrition,,Taylor & Francis,,2014,9,4,498-511,Closed,article,"Chaparro, M. Pia; Harrison, Gail G.; Pebley, Anne R.","Chaparro, M. Pia (); Harrison, Gail G. (); Pebley, Anne R. ()",,,,,,,,,,,3,2,0,0.56,,https://app.dimensions.ai/details/publication/pub.1039458183,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Behavioral and Social Science; Clinical Research,Behavioral and Social Science,Clinical Research,,,,,,,,,,,,,,,,Population & Society,Public Health,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.199294533
113,pub.1024312166,10.1007/s10995-012-1103-y,22903305,PMC3528844,Least Explored Factors Associated with Prenatal Smoking,Maternal and Child Health Journal,,Springer Nature,Adult; African Americans; Cross-Sectional Studies; Domestic Violence; Female; Humans; Interviews as Topic; Logistic Models; Maternal Age; Odds Ratio; Preconception Care; Pregnancy; Pregnant Women; Prenatal Care; Risk Factors; Smoking; Social Work; Socioeconomic Factors; Virginia; Young Adult,2013,17,7,1167-1174,"All OA; Green, Accepted",article,"Masho, Saba W.; Bishop, Diane L.; Keyser-Marcus, Lori; Varner, Sara B.; White, Shannon; Svikis, Dace","Masho, Saba W. (Virginia Commonwealth University); Bishop, Diane L. (Virginia Commonwealth University); Keyser-Marcus, Lori (Virginia Commonwealth University); Varner, Sara B. (Virginia Commonwealth University); White, Shannon (National Center for Chronic Disease Prevention and Health Promotion); Svikis, Dace (Virginia Commonwealth University)",National Center for Chronic Disease Prevention and Health Promotion; Virginia Commonwealth University,grid.416781.d; grid.224260.0,Atlanta; Richmond,Georgia; Virginia,United States; United States,Centers for Disease Control and Prevention; National Center for Chronic Disease Prevention and Health Promotion; National Institute On Minority Health and Health Disparities,CDC; NIH,United States; United States; United States,grant.2441289; grant.2699916,U58DP000983; P60MD002256,13,5,0.98,2.1,http://europepmc.org/articles/pmc3528844?pdf=render,https://app.dimensions.ai/details/publication/pub.1024312166,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Behavioral and Social Science; Pediatric; Substance Abuse; Clinical Research; Mental Health; Conditions Affecting the Embryonic and Fetal Periods; Prevention; Brain Disorders,Behavioral and Social Science,Pediatric,Substance Abuse,Clinical Research,Mental Health,Mental Health; Reproductive Health and Childbirth,Mental Health,Reproductive Health and Childbirth,,,,3.1 Primary prevention interventions to modify behaviours or promote well-being,3.1 Primary prevention interventions to modify behaviours or promote well-being,,,,,Population & Society,Public Health,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.199294533
112,pub.1034590483,10.1542/peds.2013-3337,25002670,PMC4531272,The Association of Generation Status and Health Insurance Among US Children,Pediatrics,,American Academy of Pediatrics (AAP),"Child; Emigrants and Immigrants; Female; Health Insurance Exchanges; Health Status; Humans; Insurance, Health; Male; Medicaid; Medically Uninsured; Patient Protection and Affordable Care Act; United States",2014,134,2,307-314,All OA; Bronze,article,"BeLue, Rhonda; Miranda, Patricia Y.; Elewonibi, Bilikisu Reni; Hillemeier, Marianne M.","BeLue, Rhonda (Pennsylvania State University); Miranda, Patricia Y. (Pennsylvania State University); Elewonibi, Bilikisu Reni (Pennsylvania State University); Hillemeier, Marianne M. (Pennsylvania State University)",Pennsylvania State University,grid.29857.31,State College,Pennsylvania,United States,National Institute of Child Health and Human Development,NIH,United States,grant.2621392,R24HD041025,9,4,0.75,1.69,http://pediatrics.aappublications.org/content/134/2/307.full.pdf,https://app.dimensions.ai/details/publication/pub.1034590483,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Health Services; Clinical Research,Health Services,Clinical Research,,,,,,,,,,,,,,,,Health services & systems,Public Health,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.197530864
